UID,SEX,AGE,JOB,AREA,CITY,INCOME,COFFEE,FLOWERTEA,MILKTEA,TEA,JUICE,INTERNET,EMAIL
799,M,36,BB,middle,changhua,48159,F,F,T,F,T,T,T
922,M,41,AA,middle,chiayi,56868,F,T,T,T,T,F,T
804,M,45,AA,middle,chiayi,54148,F,F,T,F,F,F,T
914,M,68,AA,middle,chiayi,45220,T,T,T,T,T,T,T
822,M,47,AA,middle,chiayi,25757,F,T,T,T,T,T,T
809,F,43,AA,middle,chiayi,23086,F,T,F,T,F,T,T
850,F,49,AA,middle,chiayi,35476,F,T,T,T,T,T,T
916,F,41,AA,middle,chiayi,48333,F,T,F,F,F,T,T
923,M,63,AA,middle,chiayi,13684,F,T,F,F,F,T,T
808,M,65,AA,middle,chiayi,78278,F,T,F,F,F,T,T
819,M,40,AA,middle,chiayi,76309,F,T,F,F,F,T,T
813,F,22,AA,middle,chiayi,79829,F,T,F,F,F,T,T
924,M,21,AA,middle,chiayi,75736,F,T,T,T,T,T,T
920,F,48,AA,middle,chiayi,68546,F,T,F,T,F,T,T
908,M,64,AA,middle,chiayi,17375,F,T,F,F,F,T,T
917,F,37,AA,middle,chiayi,40640,F,T,F,F,F,T,T
848,M,21,AA,middle,chiayi,41272,F,T,F,T,F,F,T
823,M,26,AA,middle,chiayi,79275,F,T,T,F,T,T,T
824,M,63,AA,middle,chiayi,48893,F,T,F,T,F,T,F
915,F,67,AA,middle,chiayi,40118,T,F,F,F,F,T,T
810,M,59,AA,middle,chiayi,43320,F,T,T,T,T,T,T
925,M,69,AA,middle,chiayi,23889,F,F,T,F,F,F,F
670,M,31,AA,south,chiayi,35324,F,T,F,T,F,T,F
911,M,28,AA,middle,chiayi,75585,F,T,F,F,F,T,T
818,M,52,AA,middle,chiayi,55131,F,T,F,T,F,T,T
821,M,21,AA,middle,chiayi,27214,F,T,F,T,F,T,T
805,F,64,AA,middle,chiayi,21213,F,T,T,F,T,T,T
918,F,34,AA,middle,chiayi,35733,F,T,F,F,F,T,T
815,F,68,AA,middle,chiayi,60584,F,F,T,F,F,T,T
847,F,40,AA,middle,chiayi,41638,F,F,T,F,T,F,F
909,M,57,AA,middle,chiayi,38033,F,T,T,F,T,F,T
817,F,70,AA,middle,chiayi,47629,F,T,F,T,F,T,T
921,M,53,AA,middle,chiayi,55170,F,F,T,F,F,T,T
906,F,59,AA,middle,chiayi,71844,F,F,T,F,T,F,T
806,M,29,AA,middle,chiayi,60449,F,T,T,F,T,T,T
825,M,48,AA,middle,chiayi,52064,F,T,F,T,F,F,F
812,F,39,AA,middle,chiayi,22400,F,T,F,F,F,T,T
846,F,23,AA,middle,chiayi,62806,F,F,T,F,F,T,T
820,M,23,AA,middle,chiayi,78801,F,T,T,F,T,T,F
814,F,30,AA,middle,chiayi,40642,F,T,T,T,T,F,T
208,M,58,AA,south,chiayi,19215,F,T,T,T,T,T,T
912,M,39,AA,middle,chiayi,61529,F,T,T,F,T,F,F
910,M,47,AA,middle,chiayi,20232,T,T,T,T,T,T,T
919,F,44,AA,middle,chiayi,35407,F,T,F,T,F,T,T
913,M,64,AA,middle,chiayi,70509,F,F,T,F,T,T,T
289,F,26,AA,north,hsinchu,33535,T,T,T,T,T,T,T
283,M,23,AA,north,hsinchu,54879,T,T,F,T,F,T,T
278,M,64,AA,north,hsinchu,41439,T,T,F,T,F,T,T
280,M,27,AA,north,hsinchu,46351,F,F,T,F,T,T,T
314,M,28,AA,north,hsinchu,52995,T,F,F,F,F,T,T
287,F,24,AA,north,hsinchu,41229,F,F,T,F,F,T,T
325,F,39,AA,north,hsinchu,24415,T,T,T,T,T,T,F
291,M,64,AA,north,hsinchu,79898,F,T,F,T,F,T,T
306,M,51,AA,north,hsinchu,29388,T,T,F,T,F,T,T
284,M,63,AA,north,hsinchu,36613,F,T,F,T,F,T,T
308,F,40,AA,north,hsinchu,13570,T,T,T,T,T,T,T
286,F,36,AA,north,hsinchu,70632,F,T,F,T,F,T,T
293,M,62,AA,north,hsinchu,75954,F,T,F,T,F,T,T
281,F,36,AA,north,hsinchu,40699,F,F,T,F,T,T,T
317,M,69,AA,north,hsinchu,36597,F,T,F,T,F,T,F
282,F,58,AA,north,hsinchu,69628,F,T,F,T,F,T,T
326,F,62,AA,north,hsinchu,29072,F,T,F,T,F,T,T
307,F,22,AA,north,hsinchu,33166,F,T,F,T,F,T,T
309,F,31,AA,north,hsinchu,49999,T,T,F,T,F,F,F
297,M,63,AA,north,hsinchu,65513,T,T,F,T,F,T,T
279,M,34,AA,north,hsinchu,31730,F,T,T,T,T,F,F
321,M,66,AA,north,hsinchu,39049,F,F,T,F,T,T,T
292,F,23,AA,north,hsinchu,74367,F,F,T,F,F,T,T
318,M,55,AA,north,hsinchu,24307,F,T,F,T,F,T,T
290,M,32,AA,north,hsinchu,77463,T,T,T,T,T,T,T
288,M,47,AA,north,hsinchu,66639,F,T,F,T,F,T,T
285,M,62,AA,north,hsinchu,30928,F,T,T,T,T,T,T
320,F,50,AA,north,hsinchu,33855,F,F,T,F,T,T,T
313,F,62,AA,north,hsinchu,23824,T,T,F,T,F,T,T
207,M,24,AA,north,hsinchu,62389,F,T,T,T,T,T,T
310,F,26,AA,north,hsinchu,54382,T,T,T,T,T,T,T
311,F,54,AA,north,hsinchu,26951,T,T,F,T,F,T,T
896,M,59,AA,north,hsinchu,59220,T,T,T,T,T,T,T
304,M,38,AA,north,hsinchu,33898,F,T,F,T,F,T,T
301,M,26,AA,north,hsinchu,28362,F,T,F,T,F,T,T
179,F,28,EE,east,hualien,52888,F,F,T,F,T,T,T
100,M,35,BB,south,kaohsiung,14502,F,F,T,F,F,T,T
97,M,52,DD,south,kaohsiung,71245,F,T,F,F,T,F,F
215,M,25,AA,south,kaohsiung,33006,F,T,T,T,T,T,T
99,M,66,BB,south,kaohsiung,32515,F,T,F,F,F,F,F
195,M,69,AA,south,kaohsiung,23454,F,F,T,F,F,T,T
453,F,67,AA,south,kaohsiung,49786,F,T,F,F,F,T,T
449,F,22,AA,south,kaohsiung,70451,F,F,T,F,T,T,T
853,M,43,AA,south,kaohsiung,56887,F,T,F,F,F,T,T
374,F,52,AA,south,kaohsiung,73452,F,T,F,F,F,T,T
895,M,51,AA,north,keelung,48532,T,F,T,F,T,T,T
140,M,27,AA,south,pingtumg,67114,F,T,F,F,F,T,T
199,M,39,AA,south,pingtumg,68872,T,T,T,T,T,T,T
110,M,42,AA,middle,taichung,13580,F,T,T,T,T,T,T
196,M,60,AA,middle,taichung,71312,F,F,T,T,T,T,T
748,M,61,AA,middle,taichung,19705,T,F,T,F,T,T,T
103,M,60,BB,middle,taichung,15038,F,F,F,F,T,T,T
224,M,32,AA,middle,taichung,64986,F,T,T,T,T,T,T
229,M,28,AA,middle,taichung,62933,F,F,T,F,T,T,T
216,M,28,AA,middle,taichung,19846,F,T,T,T,T,T,T
744,F,50,AA,middle,taichung,71476,F,T,T,T,T,T,T
230,M,54,AA,south,tainan,63362,F,F,T,F,F,T,T
433,F,60,AA,south,tainan,47755,F,F,T,F,T,T,T
447,F,59,AA,south,tainan,37832,F,T,F,T,F,T,T
434,F,54,AA,south,tainan,42578,F,T,F,T,F,T,T
425,F,37,AA,south,tainan,62802,F,T,F,T,F,T,T
442,F,68,AA,south,tainan,38562,F,T,T,F,T,T,T
417,F,59,AA,south,tainan,17775,T,T,F,T,F,T,T
197,M,47,AA,south,tainan,46482,F,F,F,F,T,T,T
429,F,22,AA,south,tainan,42530,F,F,T,F,T,T,T
435,F,60,AA,south,tainan,33759,F,T,T,T,T,T,T
431,F,34,AA,south,tainan,65137,F,T,T,F,T,T,T
223,M,34,AA,south,tainan,22172,F,F,T,F,F,T,T
414,F,34,AA,south,tainan,30810,F,F,F,T,F,T,T
420,F,34,AA,south,tainan,78730,F,T,T,T,T,T,T
428,F,68,AA,south,tainan,13364,F,F,F,T,T,T,T
452,F,29,AA,south,tainan,70478,T,T,T,T,T,T,T
450,F,23,AA,south,tainan,15801,F,F,T,F,T,T,T
441,F,52,AA,south,tainan,76346,F,T,T,T,T,T,T
202,M,45,AA,south,tainan,34966,F,T,T,F,T,T,T
451,F,67,AA,south,tainan,54577,F,F,T,F,F,T,T
422,F,67,AA,south,tainan,79079,F,T,T,F,T,T,T
432,F,44,AA,south,tainan,37473,F,T,T,F,T,F,F
418,F,52,AA,south,tainan,46466,F,T,T,F,T,T,T
203,M,45,AA,south,tainan,43882,T,T,F,T,F,T,T
421,F,32,AA,south,tainan,19170,F,F,T,F,F,T,T
346,F,56,AA,south,tainan,13514,F,T,T,T,T,T,T
416,F,22,AA,south,tainan,61245,F,T,T,F,T,T,T
423,F,37,AA,south,tainan,18031,T,F,F,F,F,T,T
206,M,58,AA,south,tainan,68304,F,F,T,F,T,T,T
426,F,62,AA,south,tainan,41728,F,F,T,F,T,T,T
445,F,26,AA,south,tainan,75890,F,T,T,F,T,T,T
424,F,54,AA,south,tainan,38884,F,T,T,F,T,T,T
439,F,53,AA,south,tainan,44334,F,T,T,F,T,T,T
430,F,47,AA,south,tainan,22434,F,F,T,F,T,T,T
440,F,27,AA,south,tainan,66272,F,T,F,T,F,F,T
438,F,50,AA,south,tainan,41281,F,F,T,F,F,T,T
427,F,55,AA,south,tainan,73348,F,T,T,T,T,T,T
446,F,32,AA,south,tainan,17796,F,T,T,T,T,T,T
436,F,54,AA,south,tainan,30782,T,F,T,F,T,T,T
443,F,47,AA,south,tainan,18859,T,F,T,F,T,T,T
448,F,66,AA,south,tainan,43613,F,F,T,F,F,T,T
419,F,60,AA,south,tainan,68235,F,F,T,F,F,T,T
437,F,57,AA,south,tainan,61604,F,F,T,F,T,T,T
415,F,49,AA,south,tainan,76109,F,T,F,F,F,T,T
881,M,27,AA,north,taipei,16685,F,F,T,T,T,T,F
685,M,52,AA,north,taipei,11392,F,T,T,T,T,T,T
602,M,47,BB,north,taipei,55856,F,T,T,T,T,T,T
738,M,54,AA,north,taipei,75079,T,F,F,F,F,T,T
615,M,48,AA,north,taipei,47404,T,T,F,T,F,T,T
618,M,69,AA,north,taipei,11506,T,T,F,T,F,T,T
