KD1,KD2,KD3,KD4,KD5,KC1,KC2,KC3,KC4,KC5,LC1,LC2,LC3,LC4,LC5,LM1,LM2,LM3,LM4,LM5,LM6,LM7,PI1,PI2,PI3,PI4,PI5,PI6,FI1,FI2,FI3,FI4,FI5,MI1,MI2,MI3,MI4,MI5,MI6,MI7,KD,KC,LC,LM,PC,FC,MC,INDUTRY,GENDER,MARRYED,EDUCATION,DUTY,AGE,CAREER,COMPANY
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1.993,-1.953,-0.983,-0.860,-1.844,-0.856,-0.423,FINANCE,FEMALE,NO,GRADUATED_SCHOOL,AGENT,34,3,1
5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,5,2,2,2,1,1,4,4,4,2,3,3,3,2,3,3,2,3,5,3,3,3,3,3,1.905,1.822,-0.983,-1.876,-0.082,-1.426,-0.046,FINANCE,FEMALE,YES,HIGH_SCHOOL,MANAGER,35,15,1
4,3,3,3,4,4,4,4,4,3,3,2,2,2,2,3,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,-0.948,-0.364,-2.221,0.123,-0.735,-0.856,-0.989,FINANCE,MALE,YES,HIGH_SCHOOL,MANAGER,43,13,6
4,4,4,4,4,4,4,4,3,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,2,4,5,4,5,4,4,4,2,3,4,4,4,4,4,4,0.124,-0.171,1.574,2.100,0.785,0.375,0.757,MEDICAL,MALE,YES,HIGH_SCHOOL,MANAGER,46,12,9
4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,-0.004,0.716,0.798,0.611,0.946,MEDICAL,FEMALE,YES,HIGH_SCHOOL,OPERATOR,36,6,7
5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,5,3,5,5,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.878,0.745,0.594,0.937,-1.603,-3.790,-3.161,ELECTRONIC,FEMALE,NO,HIGH_SCHOOL,OPERATOR,30,9,11
4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.452,-0.066,0.290,0.929,0.798,0.611,0.946,ELECTRONIC,FEMALE,YES,HIGH_SCHOOL,OPERATOR,31,4,11
5,4,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,5,3,5,3,3,5,3,3,3,5,5,4,5,3,5,3,5,4,4,3,3,0.878,0.635,0.594,0.513,-0.080,1.239,0.681,ELECTRONIC,MALE,NO,HIGH_SCHOOL,OPERATOR,23,1,12
4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,4,3,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,1,3,3,0.452,-0.066,0.594,0.272,0.798,0.001,-0.419,ELECTRONIC,MALE,NO,HIGH_SCHOOL,OPERATOR,30,3,12
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,0.124,-0.066,0.290,0.716,0.571,0.306,0.759,ELECTRONIC,MALE,NO,HIGH_SCHOOL,OPERATOR,26,1,12
