1 Q-E,2 ZN-E,3 PH-E,4 DBO-E,5 DQO-E,6 SS-E,7 SSV-E,8 SED-E,9 COND-E,10 PH-P,11 DBO-P,12 SS-P,13 SSV-P,14 SED-P,15 COND-P,16 PH-D,17 DBO-D,18 DQO-D,19 SS-D,20 SSV-D,21 SED-D,22 COND-D,23 PH-S,24 DBO-S,25 DQO-S,26 SS-S,27 SSV-S,28 SED-S,29 COND-S,30 RD-DBO-P,31 RD-SS-P,32 RD-SED-P,33 RD-DBO-S,34 RD-DQO-S,35 RD-DBO-G,36 RD-DQO-G,37 RD-SS-G,38 RD-SED-G,D-1/3/90
45779.00 ,3,7.80 ,0.00 ,376,194.00 ,68.50 ,5.00 ,2020.00 ,7.80 ,0.00 ,276.00 ,62.30 ,7.50 ,2390.00 ,7.70 ,0.00 ,326.00 ,82.00 ,68.30 ,0.40 ,2260.00 ,7.60 ,0.00 ,66.00 ,15.00 ,93.30 ,0.00 ,2400.00 ,0.00 ,70.30 ,94.70 ,0.00 ,79.8,0.00 ,82.4,92.30 ,100.00 ,D-1/1/90
25342.00 ,2,8.30 ,275,494,212.00 ,78.30 ,4.50 ,2070.00 ,8.30 ,411,322.00 ,73.30 ,10.00 ,2200.00 ,8.20 ,167,371.00 ,118.00 ,88.10 ,0.50 ,2240.00 ,7.80 ,18,138.00 ,22.00 ,0.00 ,0.02 ,2230.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,68.20 ,D-1/1/91
26040.00 ,2.1,8.10 ,302,702,244.00 ,75.40 ,8.50 ,2480.00 ,8.00 ,357,304.00 ,71.10 ,11.50 ,2250.00 ,8.00 ,194,412.00 ,114.00 ,82.50 ,0.20 ,2640.00 ,7.80 ,19,118.00 ,18.00 ,83.30 ,0.00 ,2590.00 ,45.7,62.50 ,98.30 ,90.2,71.4,93.7,83.2,92.60 ,100.00 ,D-1/10/90
29793.00 ,2.4,7.60 ,137,372,170.00 ,71.80 ,4.00 ,1704.00 ,7.70 ,143,172.00 ,0.00 ,3.30 ,1616.00 ,7.70 ,100,290.00 ,76.00 ,81.60 ,0.50 ,1705.00 ,7.80 ,10,78.00 ,10.00 ,100.00 ,0.01 ,1817.00 ,30.1,55.80 ,84.60 ,90,73.1,92.7,79,94.10 ,99.80 ,D-1/10/91
30164.00 ,0.53,7.90 ,232,503,194.00 ,78.40 ,6.00 ,1200.00 ,7.90 ,407,220.00 ,80.00 ,5.50 ,1222.00 ,8.00 ,149,297.00 ,112.00 ,80.40 ,0.40 ,1167.00 ,7.80 ,0.00 ,0.00 ,14.00 ,94.30 ,0.01 ,1399.00 ,63.4,49.10 ,93.60 ,0.00 ,0.00 ,0.00 ,0.00 ,92.80 ,99.80 ,D-1/11/90
40078.00 ,1.4,7.90 ,198,464,228.00 ,64.90 ,4.60 ,1431.00 ,7.60 ,243,272.00 ,64.70 ,7.50 ,1606.00 ,7.80 ,177,319.00 ,88.00 ,81.80 ,0.20 ,1556.00 ,7.80 ,17,102.00 ,22.00 ,81.80 ,0.00 ,1475.00 ,27.2,67.60 ,97.30 ,90.4,68,91.4,78,90.40 ,100.00 ,D-1/2/90
32217.00 ,2,7.70 ,365,370,172.00 ,62.80 ,0.00 ,928.00 ,7.60 ,296,196.00 ,55.10 ,0.00 ,936.00 ,7.70 ,93,135.00 ,80.00 ,77.50 ,0.00 ,940.00 ,7.60 ,13,70.00 ,16.00 ,87.50 ,0.00 ,940.00 ,68.6,59.20 ,0.00 ,86,48.1,96.4,81.1,90.70 ,68.20 ,D-1/2/91
47506.00 ,0.5,8.00 ,0.00 ,307,196.00 ,60.20 ,4.00 ,1557.00 ,8.00 ,0.00 ,228.00 ,49.10 ,5.00 ,1575.00 ,8.00 ,0.00 ,233.00 ,96.00 ,62.50 ,0.30 ,1620.00 ,7.90 ,0.00 ,74.00 ,26.00 ,60.00 ,0.01 ,1639.00 ,0.00 ,57.90 ,94.00 ,0.00 ,68.2,0.00 ,75.9,86.70 ,99.80 ,D-1/3/91
45018.00 ,2,7.90 ,224,488,456.00 ,48.20 ,11.00 ,1147.00 ,7.90 ,153,252.00 ,49.20 ,4.00 ,1224.00 ,8.00 ,110,248.00 ,92.00 ,67.40 ,0.40 ,1238.00 ,8.00 ,15,36.00 ,17.00 ,82.40 ,0.00 ,1217.00 ,28.1,63.50 ,91.30 ,86.4,85.5,93.3,92.6,96.30 ,100.00 ,D-1/4/90
34094.00 ,0.99,7.80 ,156,483,964.00 ,23.70 ,18.00 ,2120.00 ,7.80 ,196,764.00 ,30.40 ,17.00 ,2110.00 ,7.80 ,97,170.00 ,92.00 ,60.90 ,0.40 ,1930.00 ,7.60 ,15,0.00 ,20.00 ,75.00 ,0.03 ,1966.00 ,50.5,88.00 ,97.60 ,84.5,0.00 ,90.4,0.00 ,97.90 ,99.90 ,D-1/4/91
